"Name";"global_id";"Razdel";"Kod";"Nomdescr";"Idx";
"Оборудование оконечное (пользовательское) телефонной или телеграфной связи, аппаратура видеосвязи";"273512499";"C";"26.30.2";"";"C.26.30.2";
"Аппараты телефонные проводные с беспроводной трубкой";"273512500";"C";"26.30.21";"";"C.26.30.21";
"Аппараты телефонные проводные с беспроводной трубкой";"273512502";"C";"26.30.21.000";"";"C.26.30.21.000";
"Аппараты телефонные для сотовых сетей связи или для прочих беспроводных сетей";"273512503";"C";"26.30.22";"";"C.26.30.22";
"Аппараты телефонные для сотовых сетей связи или для прочих беспроводных сетей";"273512505";"C";"26.30.22.000";"";"C.26.30.22.000";
"Аппараты телефонные прочие, устройства и аппаратура для передачи и приема речи, изображений или других данных, включая оборудование коммуникационное для работы в проводных или беспроводных сетях связи (например, локальных и глобальных сетях)";"273512507";"C";"26.30.23";"Эта группировка включает:^- прочие телефонные аппараты;^- факсимильные аппараты, в том числе с автоответчиком;^- пейджеры;^- приборы связи, использующие инфракрасный сигнал (например, для удаленного контроля);^- модемы";"C.26.30.23";
"Аппараты телефонные прочие, устройства и аппаратура для передачи и приема речи, изображений или других данных, включая оборудование коммуникационное для работы в проводных или беспроводных сетях связи (например, локальных и глобальных сетях)";"273512509";"C";"26.30.23.000";"";"C.26.30.23.000";
"Части и комплектующие коммуникационного оборудования";"273512511";"C";"26.30.3";"";"C.26.30.3";
"Части и комплектующие коммуникационного оборудования";"273512513";"C";"26.30.30";"";"C.26.30.30";
"Части и комплектующие коммуникационного оборудования";"273512514";"C";"26.30.30.000";"";"C.26.30.30.000";
"Антенны и антенные отражатели всех видов и их части; части передающей радио- и телевизионной аппаратуры и телевизионных камер";"273512516";"C";"26.30.4";"";"C.26.30.4";
"Антенны и антенные отражатели всех видов и их части; части передающей радио- и телевизионной аппаратуры и телевизионных камер";"273512518";"C";"26.30.40";"";"C.26.30.40";
"Антенны и отражатели антенные всех видов и их части";"273512520";"C";"26.30.40.110";"";"C.26.30.40.110";
"Части и комплектующие радио- и телевизионной передающей аппаратуры и телевизионных камер";"273512522";"C";"26.30.40.120";"";"C.26.30.40.120";
"Устройства охранной или пожарной сигнализации и аналогичная аппаратура";"273512523";"C";"26.30.5";"";"C.26.30.5";
"Устройства охранной или пожарной сигнализации и аналогичная аппаратура";"273512525";"C";"26.30.50";"";"C.26.30.50";
"Приборы и аппаратура для систем охранной сигнализации";"273512527";"C";"26.30.50.110";"";"C.26.30.50.110";
"Извещатели охранные и охранно-пожарные";"273512529";"C";"26.30.50.111";"";"C.26.30.50.111";
"Устройства приемно-контрольные охранные и охранно-пожарные";"273512530";"C";"26.30.50.112";"";"C.26.30.50.112";
"Устройства сигнально-пусковые охранные и охранно-пожарные";"273512532";"C";"26.30.50.113";"";"C.26.30.50.113";
"Приборы управления, приемно-контрольные и оповещатели охранные и охраннопожарные";"273512533";"C";"26.30.50.114";"";"C.26.30.50.114";
"Системы тревожной сигнализации, противоугонные и охранные устройства для транспортных средств";"273512535";"C";"26.30.50.115";"";"C.26.30.50.115";
"Приборы и аппаратура для систем охранной сигнализации прочие, не включенные в другие группировки";"273512536";"C";"26.30.50.119";"";"C.26.30.50.119";
"Приборы и аппаратура для систем автоматического пожаротушения и пожарной сигнализации";"273512538";"C";"26.30.50.120";"";"C.26.30.50.120";
"Извещатели пожарные";"273512540";"C";"26.30.50.121";"";"C.26.30.50.121";
"Устройства сигнально-пусковые пожарные";"273512541";"C";"26.30.50.122";"";"C.26.30.50.122";
"Станции пожарной сигнализации, приборы управления и оповещатели пожарные";"273512543";"C";"26.30.50.123";"";"C.26.30.50.123";
"Приборы и аппаратура для систем автоматического пожаротушения и пожарной сигнализации прочие, не включенные в другие группировки";"273512545";"C";"26.30.50.129";"";"C.26.30.50.129";
"Части устройств охранной или пожарной сигнализации и аналогичной аппаратуры";"273512546";"C";"26.30.6";"";"C.26.30.6";
"Части устройств охранной или пожарной сигнализации и аналогичной аппаратуры";"273512548";"C";"26.30.60";"";"C.26.30.60";
"Услуги по производству коммуникационного оборудования отдельные, выполняемые субподрядчиком";"273512552";"C";"26.30.9";"";"C.26.30.9";
"Услуги по производству коммуникационного оборудования отдельные, выполняемые субподрядчиком";"273512554";"C";"26.30.99";"";"C.26.30.99";
"Техника бытовая электронная";"273512558";"C";"26.4";"";"C.26.4";
"Техника бытовая электронная";"273512560";"C";"26.40";"";"C.26.40";
"Радиоприемники широковещательные";"273512562";"C";"26.40.1";"";"C.26.40.1";
"Радиоприемники широковещательные, кроме автомобильных, работающие без внешнего источника питания";"273512564";"C";"26.40.11";"";"C.26.40.11";
"Радиоприемники широковещательные, кроме автомобильных, работающие без внешнего источника питания";"273512566";"C";"26.40.11.000";"";"C.26.40.11.000";
"Радиоприемники широковещательные, не работающие без внешнего источника питания";"273512568";"C";"26.40.12";"";"C.26.40.12";
"Радиоприемники широковещательные, не работающие без внешнего источника питания";"273512570";"C";"26.40.12.000";"";"C.26.40.12.000";
"Приемники телевизионные, совмещенные или не совмещенные с широковещательными радиоприемниками или аппаратурой для записи или воспроизведения звука или изображения";"273512572";"C";"26.40.2";"";"C.26.40.2";
"Приемники телевизионные, совмещенные или не совмещенные с широковещательными радиоприемниками или аппаратурой для записи или воспроизведения звука или изображения";"273512574";"C";"26.40.20";"";"C.26.40.20";
"Приемники телевизионные (телевизоры) цветного изображения с устройствами записи и воспроизведения звука и изображения";"273512575";"C";"26.40.20.110";"";"C.26.40.20.110";
"Приемники телевизионные (телевизоры) цветного изображения без устройств записи и воспроизведения звука и изображения";"273512577";"C";"26.40.20.120";"";"C.26.40.20.120";
"Приемники телевизионные (телевизоры) цветного изображения с электронно-лучевой трубкой";"273512579";"C";"26.40.20.121";"";"C.26.40.20.121";
"Приемники телевизионные (телевизоры) цветного изображения с жидкокристаллическим экраном, плазменной панелью";"273512581";"C";"26.40.20.122";"";"C.26.40.20.122";
"Приемники телевизионные (телевизоры) черно-белого изображения";"273512583";"C";"26.40.20.130";"";"C.26.40.20.130";
"Аппаратура для записи и воспроизведения звука и изображения";"273512585";"C";"26.40.3";"";"C.26.40.3";
"Устройства электропроигрывающие, проигрыватели грампластинок, кассетные проигрыватели и прочая аппаратура для воспроизведения звука";"273512587";"C";"26.40.31";"";"C.26.40.31";
"Устройства электропроигрывающие";"273512588";"C";"26.40.31.110";"";"C.26.40.31.110";
"Проигрыватели грампластинок";"273512590";"C";"26.40.31.120";"";"C.26.40.31.120";
"Проигрыватели кассетные";"273512592";"C";"26.40.31.130";"";"C.26.40.31.130";
"Аппаратура для воспроизведения звука прочая";"273512594";"C";"26.40.31.190";"";"C.26.40.31.190";
"Магнитофоны и прочая аппаратура для записи звука";"273512596";"C";"26.40.32";"";"C.26.40.32";
"Магнитофоны";"273512598";"C";"26.40.32.110";"";"C.26.40.32.110";
"Диктофоны";"273512599";"C";"26.40.32.120";"";"C.26.40.32.120";
"Аппаратура для записи звука прочая";"273512601";"C";"26.40.32.190";"";"C.26.40.32.190";
"Видеокамеры для записи и прочая аппаратура для записи или воспроизведения изображения";"273512603";"C";"26.40.33";"";"C.26.40.33";
"Видеокамеры";"273512605";"C";"26.40.33.110";"";"C.26.40.33.110";
"Прессы блокообжимные";"273512606";"C";"28.99.11.131";"";"C.28.99.11.131";
